item_id,target_word,sentence_a,sentence_b,ground_truth_reading,inferential_depth,is_critical_item,corpus_dominant_sense,encyclopedic_target_sense,verification_source,zipf_frequency,note
E4_012,strike,The workers announced a strike after negotiations with management broke down.,"The strike was broken — not by argument, but by importing men who had no other option, and calling it the free market.",Strike-breaking via reserve labor army; labor market as power asymmetry.,shallow,,,,,4.66,Industrial labor history; reserve army of labor
E4_013,satellite,"The satellite orbits Earth every ninety minutes, transmitting data to ground stations.","The satellite changed the meaning of sovereignty: a border is no longer only a line on the ground but a frequency in the sky, and some nations cannot afford the frequency.","Satellite communications as contested infrastructure; spectrum sovereignty, digital divide.",shallow,,,,,4.33,"ITU spectrum allocation, GPS dependence"
E4_014,asteroid,The asteroid was detected by ground-based telescopes as it passed near Earth.,"The last time an object of that mass arrived, it did not just end an era — it cleared the stage for everything that came after, including us.",K-Pg mass extinction event; asteroids as agents of evolutionary history.,shallow,,,,,3.56,"Chicxulub impactor, mammalian diversification"
E4_015,climate,"The climate of the coastal region is mild, with warm summers and wet winters.",The climate did not change on its own; it changed because the costs of changing it were distributed to people who had not made the decision.,"Climate change as collective action problem with unequal distributional burden; IPCC, fossil fuel lobbying, Paris Agreement.",shallow,,,,,4.71,"Climate justice, IPCC AR6, fossil fuel industry denial campaigns"
E4_016,contract,Both parties signed a contract before the project could begin.,"The contract bound both parties to silence about the acquisition, which is why the antitrust review was unable to proceed.",Contract as instrument of regulatory opacity; NDAs in merger transactions.,medium,,,,,4.94,"Contractual silence, antitrust evasion"
E4_017,mortgage,The family took out a mortgage to purchase their first home.,"The mortgage was sold twice before the family made their first payment, and by the third year they were sending money to an entity they had never heard of.",Mortgage securitization; MBS markets; 2008 financial crisis mechanics.,medium,,,,,4.39,"Mortgage-backed securities, subprime crisis"
E4_018,patent,The company was awarded a patent for its new manufacturing process.,"The patent expired, but the drug never became affordable, because the original had been replaced by a modified version just different enough to restart the clock.",Evergreening: patent extension strategies in pharmaceuticals to prevent generic competition.,medium,,,,,4.18,"Pharmaceutical evergreening, TRIPS Agreement"
E4_019,censorship,The book was subjected to censorship before it could be distributed.,"By the time the investigation began, most people had already stopped noticing which voices were amplified and which had simply ceased to appear.",Structural censorship via platform algorithms and market concentration; not only state censorship.,medium,,,,,3.85,"Algorithmic suppression, market-driven content exclusion"
E4_020,monopoly,The company held a monopoly over the distribution of electricity in the region.,The monopoly was not won by outcompeting rivals but by acquiring them and then drafting the regulations that made further acquisition easier than further competition.,Platform monopoly via regulatory capture; monopoly as political rather than purely economic phenomenon.,medium,,,,,3.84,"Big Tech antitrust, regulatory capture"
E4_021,tariff,The government imposed a tariff on imported steel to protect domestic industry.,"The tariff was presented as a measure for workers, but its main legible effect was in the accounts of firms that had already stopped employing them.","Tariff incidence: protection benefits capital, not necessarily labor; industrial policy complexity.",medium,,,,,3.49,"Trade policy incidence, Stolper-Samuelson in reverse"
E4_022,asylum,She applied for political asylum after fleeing persecution in her home country.,"Asylum had been a right, then became a procedure, then became a queue administered at a distance by offices that would never see her face.",Externalization of asylum processing; bureaucratic attrition as deterrence policy.,medium,,,,,3.99,"EU-Turkey deal, offshore processing, asylum deterrence"
E4_023,dividend,The company paid shareholders a quarterly dividend of fifty cents per share.,The dividend was generous; the workforce was the smallest it had been in thirty years; the two facts were presented in separate sections of the annual report.,Shareholder primacy: dividend maximization via labor cost reduction; financialization.,medium,,,,,3.82,"Shareholder value ideology, Friedman doctrine"
E4_024,algorithm,The algorithm ranks search results according to a measure of relevance.,"The algorithm was neutral in the way a locked door is neutral — it applied the same rule to everyone, once you accepted who had written the rule.",Algorithmic bias: formally neutral procedures encoding structural inequality.,medium,,,,,4.02,"Facial recognition bias, credit scoring discrimination"
E4_025,arbitration,The employment dispute was referred to arbitration rather than the court system.,"The arbitration clause was buried in the terms of service, and it meant that the complaint would be heard by someone selected and paid by the company being complained about.",Mandatory arbitration as barrier to collective action; captured arbitration process.,medium,,,,,3.72,"SCOTUS Epic Systems v. Lewis, consumer arbitration clauses"
E4_026,subsidy,The government introduced a subsidy to reduce the cost of renewable energy for consumers.,"The subsidy was described as support for innovation, but it was larger, and older, and differently distributed than that description implied.","Political economy of subsidy: who receives them, why, and how subsidy allocation encodes political power (fossil fuels, agriculture, banking).",medium,,,,,3.56,"Fossil fuel subsidies, farm bill, tax expenditures as hidden subsidies"
E4_027,leverage,The investment fund used leverage to amplify returns on its asset portfolio.,"When the leverage unwound, it did not unwind slowly; it reached the pension funds before the word 'crisis' had appeared in a single headline.",Systemic risk propagation in leveraged financial system; 2008 crisis mechanics.,medium,,,,,3.88,"Leverage cycles, Lehman collapse, contagion"
E4_028,zoning,The city's zoning regulations restricted commercial development in residential neighborhoods.,"The zoning map drawn in 1948 still predicted, with remarkable accuracy, which neighborhoods had parks and which had highways.",Racially exclusionary zoning; long-term spatial inequality; environmental racism.,medium,,,,,3.52,"Racial zoning, redlining, urban geography of inequality"
E4_029,encryption,The message was encrypted before transmission to prevent unauthorized access.,Encryption became a political question the moment governments realized that a lock they could not open was a lock they intended to prohibit.,Crypto wars; state demands for backdoors; privacy vs. security in digital policy.,medium,,,,,3.56,"FBI v. Apple, Clipper chip, key escrow debate"
E4_030,austerity,The government announced a period of austerity to reduce the public deficit.,Austerity balanced the budget on paper by moving the costs to a line that no accountant was required to track.,Social cost of austerity: hidden distributional burden on public-service users; IMF conditionality.,medium,,,,,3.41,"Greek debt crisis, IMF austerity conditionality, Blyth 2013"
E4_031,loom,The weaver operated the loom to produce lengths of woolen cloth.,"When the loom changed the valley's social fabric within a generation, the metaphor was not an accident.",Mechanized weaving → artisan displacement → proletarianization → Industrial Revolution's social transformation.,deep,,,,,3.34,"Luddites, textile mechanization, Thompson's Making of the English Working Class"
E4_032,enclosure,The farmer built an enclosure to keep the livestock from wandering.,"The enclosure of the commons was the first act of the drama that would end, three generations later, with the factory whistle.",English enclosure → privatization of common land → peasant displacement → proletarian labor supply for industry.,deep,,,,,3.61,"Enclosure Acts, primitive accumulation, Polanyi's Great Transformation"
E4_033,telegraph,The telegraph message was transmitted along the wire and received within seconds.,The telegraph did not change how fast news traveled; it changed who news was for.,"Telegraph as financial infrastructure; reordering of information asymmetries; Reuters, AP; military command.",deep,,,,,4.0,"James Carey, communication as culture; telegraph and commodity markets"
E4_034,transistor,The transistor amplifies the electrical signal passing through the circuit.,The transistor was a physics experiment until it became a question about which kinds of labor were still worth paying for.,Transistor → IC → computer → automation of cognitive labor → de-skilling; digital transformation of work.,deep,,,,,3.21,"Moore's Law, Braverman deskilling thesis, platform labor"
E4_035,corn,The farmer planted corn in the fields along the river.,The history of corn in America is also the history of why the cheapest calories are the ones most likely to kill you.,Corn subsidies → overproduction → HFCS → obesity epidemic → farm bill politics; commodification of food.,deep,,,,,4.19,"Pollan Omnivore's Dilemma, HFCS, USDA farm policy"
E4_036,interest,The bank charged a rate of interest on the outstanding loan balance.,The argument about whether interest is a fee for service or a mechanism of extraction is older than capitalism and has never been resolved to everyone's satisfaction.,Usury debates from Aristotle through medieval church law through Islamic finance to contemporary financialization; interest as accumulation vs. exploitation.,deep,,,,,5.17,"Aristotelian chrematistics, usury prohibition, interest-free finance"
E4_037,plague,The plague killed a large share of the population in the affected regions.,"The plague did not only empty the villages; it emptied the argument for serfdom, because a dead serf cannot be compelled to work.",Black Death → labor shortage → collapse of feudal labor relations → peasant bargaining power → end of serfdom.,deep,,,,,3.89,"Black Death 1347-51, labor shortage, Brenner debate, Postan thesis"
E4_038,indigo,Indigo was used to produce a deep blue dye prized by cloth merchants.,Indigo built fortunes in Bengal and left behind a system of coercion that the British called agriculture and the peasants called something else.,Indigo Revolt 1859-60; forced cultivation under British planters; peasant resistance; colonial agrarian economy.,deep,,,,,3.31,"Nil Darpan, Bengal indigo, Indigo Commission 1860"
E4_039,opium,Opium was widely used in nineteenth-century medicine to relieve pain.,"The opium trade was not a failure of governance; it was governance — conducted by a corporation with shareholders, a charter, and an army.",British East India Company's opium trade; Opium Wars; state-sponsored drug trade as imperial policy.,deep,,,,,3.46,"EIC Bengal opium, First and Second Opium Wars, treaty ports"
E4_040,sugar,Sugar is extracted from the juice of crushed sugarcane.,"Sugar was the sweetness of empire, and the bitterness was not in the cane.",Atlantic slave trade; sugar plantation economy; Caribbean colonies; triangular trade and primitive accumulation.,deep,,,,,4.68,"Sidney Mintz Sweetness and Power, Caribbean slavery, ASIENTO"
E4_041,cotton,Cotton is a soft fiber harvested from the bolls of the cotton plant.,The cotton economy could not have operated without a prior decision to treat one category of human beings as part of the capital stock.,American slavery as foundation of antebellum capitalism; cotton → financial instruments → Northern banks.,deep,,,,,4.35,"Baptist The Half Has Never Been Told, slave capitalism"
E4_042,rubber,Rubber is derived from the latex sap of the rubber tree and valued for its elasticity.,The rubber that reached European factories had already cost more than it was ever sold for — but not in any currency that anyone was required to report.,Congo Free State; Leopold II's forced rubber extraction; atrocities; Adam Hochschild King Leopold's Ghost.,deep,,,,,4.23,"Congo Free State, quota system, Henry Morton Stanley"
E4_043,code,The developer wrote code to automate the data entry process.,"When the code began deciding who received loans and who did not, the question of who had written the code became a question of constitutional law.",Algorithmic lending decisions; automated decision-making; accountability gap; ECOA discrimination.,deep,,,,,5.08,"Fair lending algorithms, explainability requirements, CFPB"
E4_044,network,The social network allowed users to share messages and photographs with friends.,The network had two billion users and understood each of them better than their families did — a knowledge it had monetized before anyone thought to regulate it.,Surveillance capitalism; attention economy; behavioral data extraction; regulatory lag.,deep,,,,,5.02,"Zuboff Surveillance Capitalism, Cambridge Analytica, GDPR"
E4_045,derivative,A derivative is a financial instrument whose value depends on an underlying asset.,"The derivative market was large enough by 2007 that unwinding it was not a financial problem; it was a political one, and the politics were resolved in favor of the market.",Credit default swaps; 2008 financial crisis; too-big-to-fail; political economy of bailouts; socialization of losses.,deep,,,,,3.65,"AIG, TARP, CDO-squared, Tett Fool's Gold"
E4_046,curriculum,"The school's curriculum covered mathematics, history, and three foreign languages.",What was taught in the schools of a colony was never merely a question about education.,Colonial curriculum as cultural erasure; knowledge as instrument of political domination; Macaulay's Minute on Indian Education.,deep,,,,,4.12,"Colonial education, Macaulay Minute 1835, Ngugi decolonize the mind"
E4_047,prison,The convicted man was sentenced to five years in prison.,"The prison population quadrupled in forty years without a corresponding increase in crime, which suggested that the explanation required an account of economics rather than criminology.",Mass incarceration; prison-industrial complex; racial and economic determinants of incarceration; 13th Amendment exception.,deep,,,,,4.8,"Alexander New Jim Crow, prison labor, mandatory minimums"
E4_048,map,The explorer used a map to plan the route through the mountain pass.,"The map arrived before the territory it described, and in several cases the territory was then reorganized to fit the map.","Cartography as colonial instrument; terra nullius; arbitrary boundary-drawing; Sykes-Picot, Berlin Conference.",deep,,,,,4.76,"Harley cartography and power, Berlin Conference 1884, Sykes-Picot"
E4_049,border,The customs officer checked travelers' documents at the border crossing.,"The border had always been there, in the sense that a line drawn seventy years ago by men who had never visited had always been there.",Colonial border-drawing; arbitrariness of post-colonial nation-state borders; African and Middle Eastern cases.,deep,,,,,4.7,"Scramble for Africa, Sykes-Picot, post-colonial conflict"
E4_050,standard,The engineering team ensured the product met the applicable industry standard.,The standard that won was not the better one; it was the one whose sponsor could afford to wait until the others ran out of money.,"Standards wars; path dependency; lock-in; VHS/Betamax, QWERTY, USB — incumbency as competitive advantage.",deep,,,,,5.03,"David 1985 QWERTY, standards battles, technological lock-in"
