item_id,target_word,inferential_depth,corpus_dominant_sense,verification_source,encyclopedic_target_sense,dict_synset,enc_ctx_word,dict_ctx_word,zipf_enc_ctx,zipf_dict_ctx,sense_mismatch,freq_lower,tier,is_critical_item,manual_rationale
E4_025,arbitration,medium,arbitration.n.01,wordnet_ordering(n=0),arbitration.n.01,arbitration.n.01,mandatory,dispute,4.13,4.27,False,True,-,False,
E4_026,subsidy,medium,subsidy.n.01,wordnet_ordering(n=0),subsidy.n.01,subsidy.n.01,incumbents,support,3.17,5.53,False,True,-,False,
E4_027,leverage,medium,leverage.n.01,wordnet_ordering(n=0),leverage.n.02,leverage.n.01,contagion,mechanical,3.03,4.33,True,True,T1_auto,True,
E4_028,zoning,medium,zoning.n.01,wordnet_ordering(n=0)+manual,zoning.n.01,zoning.n.01,segregation,land,3.6,5.22,False,True,T3_manual,True,Zoning → racial segregation: requires knowing US zoning history as instrument of residential racial exclusion (post-1940s maps).
E4_029,encryption,medium,encoding.n.01,wordnet_ordering(n=0),encryption.n.01,encryption.n.01,backdoor,cipher,3.03,3.12,False,True,-,False,
E4_030,austerity,medium,austerity.n.01,wordnet_ordering(n=0)+manual,austerity.n.01,austerity.n.01,conditionality,deficit,2.06,4.06,False,True,T3_manual,True,Austerity → hidden distributional burden: requires knowing that deficit-reduction moves social costs off the formal ledger.
E4_031,loom,deep,loom.n.01,wordnet_ordering(n=0),loom.n.01,loom.n.01,proletarianization,weave,0.0,3.53,False,True,-,False,
E4_032,enclosure,deep,enclosure.n.01,wordnet_ordering(n=0),enclosure.n.03,enclosure.n.01,commons,fence,4.14,4.21,True,True,T1_auto,True,
E4_033,telegraph,deep,telegraph.n.01,wordnet_ordering(n=0),telegraph.n.01,telegraph.n.01,commodities,communication,3.73,4.68,False,True,-,False,
E4_034,transistor,deep,transistor.n.01,wordnet_ordering(n=0),transistor.n.01,transistor.n.01,automation,amplifier,3.8,3.45,False,False,-,False,
E4_035,corn,deep,corn.n.01,semcor(n=3),corn.n.01,corn.n.01,subsidy,grain,3.56,4.18,False,True,-,False,
E4_036,interest,deep,interest.n.01,semcor(n=58),interest.n.03,interest.n.01,usury,curiosity,2.54,3.97,True,True,T1_auto,True,
E4_037,plague,deep,plague.n.01,wordnet_ordering(n=0),plague.n.01,plague.n.01,serfdom,epidemic,2.49,3.8,False,True,-,False,
E4_038,indigo,deep,anil.n.01,wordnet_ordering(n=0),indigo.n.02,indigo.n.01,Bengal,dye,3.68,3.82,True,True,T1_auto,True,
E4_039,opium,deep,opium.n.01,semcor(n=14)+manual,opium.n.01,opium.n.01,sovereignty,narcotic,3.86,3.0,False,False,T3_manual,True,Opium → EIC state-sponsored trade: requires knowing that the British East India Company ran the opium trade as policy.
E4_040,sugar,deep,sugar.n.01,semcor(n=4),sugar.n.01,sugar.n.01,slavery,sweetener,4.21,2.9,False,False,-,False,
E4_041,cotton,deep,cotton.n.01,semcor(n=6),cotton.n.01,cotton.n.01,slavery,fibre,4.21,3.67,False,False,-,False,
E4_042,rubber,deep,rubber.n.01,wordnet_ordering(n=0)+manual,rubber.n.01,rubber.n.01,atrocity,latex,3.03,3.4,False,True,T3_manual,True,Rubber → Congo Free State atrocities: requires knowing Leopold II's forced-rubber-extraction system (Hochschild's King Leopold's Ghost).
E4_043,code,deep,code.n.01,semcor(n=10),code.n.03,code.n.02,accountability,legislation,3.91,4.55,True,True,T1_auto,True,
E4_044,network,deep,network.n.01,semcor(n=23),network.n.03,network.n.01,surveillance,broadcast,4.17,4.39,True,True,T1_auto,True,
E4_045,derivative,deep,derived_function.n.01,wordnet_ordering(n=0),derivative.n.02,derivative.n.01,bailout,calculus,3.16,3.6,True,True,T1_auto,True,
E4_046,curriculum,deep,course_of_study.n.01,semcor(n=7)+manual,curriculum.n.01,curriculum.n.01,colonialism,subjects,3.33,4.38,False,True,T3_manual,True,Curriculum → colonial epistemic violence: requires knowing Macaulay's Minute and the use of education for cultural erasure.
E4_047,prison,deep,prison.n.01,wordnet_ordering(n=0)+manual,prison.n.01,prison.n.01,incarceration,confinement,3.36,3.46,False,True,T3_manual,True,"Prison → mass incarceration as economic policy: requires knowing that US incarceration rates reflect economic/racial policy, not crime."
E4_048,map,deep,function.n.01,semcor(n=43),map.n.01,map.n.01,colonialism,geography,3.33,3.98,False,True,-,False,
E4_049,border,deep,edge.n.01,semcor(n=27),border.n.01,border.n.01,sovereignty,boundary,3.86,4.13,False,True,-,False,
E4_050,standard,deep,standard.n.01,semcor(n=16),standard.n.04,standard.n.01,lock-in,quality,4.51,5.11,True,True,T1_auto,True,
